,sequence1,sequence2,simple_score,attention_score
382,ishares tr natl mun bd etf fd,ishares nationl amt freemuni etf,0.0294,0.9763
383,bank amer corp com,bank of america corp.,0.0038,0.9549
384,russell 1000 growth (ishares),ishares russell 1000 grw etf div: 1.363,0.0206,0.9809
385,american fd growth fd of america cl a,amer fds grwth fd amr a,0.0091,0.9748
386,ishares us real estate etf,ishares u s real estate etf,0.1722,0.9989
387,dfa emerging markets portfolio,dfa emrging markets,0.0642,0.999
388,alphabet inc-cl a,alphabet inc. class a,0.0345,0.9946
389,raytheon co (new) div: 2.680,raytheon co com,0.0346,0.9991
390,charles schwab new,schwab charles corp new,0.1323,0.9969
391,alibaba group holding lt,alibaba group hldg ltd sponsor,0.0724,0.999
392,oakmark international i,oakmark fds oakmark intl,0.0005,0.9892
393,mastercard incorporated cmn class a,mastercard inc-class a,0.0959,0.9774
394,kimberly-clark corp,kimberly-clark corp.,0.0466,0.9925
395,ishares 7-10 yr treasry bd etf div: 1.973,ishares barclays 7-10 year treasury bond,0.0049,0.9939
396,vanguard small-cap index fund admiral shares,vanguard small-cap index fund inst,0.0691,0.0033
397,foot locker inc com isin #us9 sedol #2980906,foot locker inc com isin #us3448491049 sedol #2980906,1.0,1.0
398,vanguard ttl bond mkt idx adm,vanguard total bond market index inv,0.0051,0.0
399,chesapeake energy corporation oklahoma,chesapeake energy corp,0.0418,0.9969
400,charles schwab corporation cmn,schwab charles corp new,0.058,0.99
401,vanguard intl equity index fds ftse all world ex usa small cap index fd etf shs,vanguard ftse all world ex us small cap etf,0.0815,0.9968
402,chicago bridge & iron co nv,chicago bridge & iron company n.v. eur0.01 reg,0.2233,0.986
403,amer fds grwth fd amr a,american gr fd of america a,0.0071,0.9666
404,amg managers real estate securities fund,amg managers real estate securities fd,0.1518,0.8848
405,american new perspective class a,new perspective fund cl a,0.0534,0.9937
406,lloyds banking group plc sp adr,lloyds banking group plc div: 0.129,0.1659,0.9934
407,vanguard 500 idx adm,vanguard s&p 500 index - a,0.0068,0.8301
408,vanguard total bond market index admiral,vanguard total bond market index fund institutional shares,0.1287,0.0005
409,j p morgan chase & co,jp morgan chase & co,0.162,0.9934
410,halliburton co hldg,halliburton company,0.0082,0.9985
411,guggenheim bulletshares 2018 high yield corp bd,claymore exchange traded fd trust guggenheim bltshrs 2018 high yld cp bd,0.1763,0.9812
412,ishares russell 2000 value etf,ishares russell 2000 value etf iv,0.2816,0.9983
413,pimco total return a,total return fund (pimco),0.1833,0.0012
414,vanguard index fds vanguard reit etf formerly vanguard index tr to 05/24/01 reit viper shs,vanguard index fds vanguard reit etf formerly vanguard index,0.2289,0.9952
415,powershares emrg mkts sovrgn dbt etf,powershares emerging markets sovereign d,0.0044,0.9771
416,vang tot bd mkt adm,vanguard total bond market index,0.0002,0.0379
417,arena pharmaceuticals inc com,arena pharmaceuticals,0.0346,0.9986
418,nokia corp spon adr f1 adr rep 1 nokia corps,nokia corp sponsored adr,0.0894,0.9497
419,vanguard value index fund admiral shares,vanguard value index fund institutional shares,0.1714,0.0814
420,vanguard total int bd idx etf,vanguard charlotte total intl bd index fd etf,0.1001,0.986
421,pimco total ret fd instl,pimco total return r,0.0123,0.0
422,intl business machines,intl business mach,0.027,0.9717
423,harbor international fund,harbor international,0.0803,0.997
424,vanguard intl bond index etf,vanguard total internatlbnd etf iv,0.0089,0.9937
425,vanguard extended market index institutional class,vang ext mkt idx ins,0.0002,0.0042
426,caterpillar inc del,caterpillar inc,0.0174,0.9958
427,visa inc com cl a,salesforce.com inc com,0.0143,0.5308
428,pimco total return admin,total return fund (pimco),0.0734,0.0835
429,pepsico inc.,pepsico inc nc div: 2.810,0.001,0.9806
430,powershares fin pfd portfoli,powershares etf financial pfd portfolio,0.0117,0.9903
431,fid sel biotech,fidelity select biotechnology,0.0005,0.9905
432,arcelormittal sa luxembourg ny registry sh isin #us4 sedol #b295f26,arcelormittal sa (luxembourg),0.0179,0.9948
433,realty incm corp reit,realty income corporation com,0.0211,0.9838
434,vanguard total international stock index fund admiral shares,vanguard ttl intl stk ind adm,0.0005,0.8065
435,c h robinson worldwide inc com new isin #us8 sedol #2116228,c.h. robinson worldwide inc,0.0926,0.9984
436,sprint corp shs series -,sprint corp,0.0091,0.9945
437,google inc cl c,alphabet inc cap stk cl c,0.0305,0.9994
438,templeton glbal bond adv,templeton global bond adv,0.1094,0.996
439,apollo investments corp com,apollo invt corp com,0.1287,0.9979
440,sptn us bond idx is,spartan us bond indx fidelity adv class,0.095,0.0
441,ishares inc msci emrg mkts min volatility etf,ishares msci markets minvol etf,0.1506,0.994
442,vanguard total bond market index admiral,vanguard total bond market idx-adm,0.1838,0.9279
443,southwest gas corp div: 1.800,southwest gas corp,0.0422,0.9973
444,vanguard ftse developd mkt etf,vanguard ftse dev markets etf,0.06,0.996
445,spdr nuveen barclays muni bond etf,spdr nuveen barclays muni,0.175,0.9898
446,dodge & cox interntl stock,dodge & cox international stock,0.19,0.9859
447,alexion pharms inc,alexion pharmaceuticals inc,0.0169,0.9812
448,vanguard total bond market idx-adm,vanguard ttl bnd mrk indx inst,0.0016,0.0
449,general mtrs co,general motors co.,0.0023,0.9849
450,zoes kitchen inc com isin #us7 sedol #bl95n36,zoes kitchen inc com,0.155,0.9933
451,loomis sayles bond fund cl i,loomis sayles mlti-asset inc a,0.0779,0.0079
452,athenahealth inc delaware,athenahealth inc,0.0799,0.9869
453,ishares silver trust etf,ishares silver shares,0.0381,0.9959
454,emerging markets,harding loevner emerging mkts,0.0006,0.0405
455,markel corp hldg co,markel corp holding company,0.0608,0.999
456,ameriprise financial inc,ameriprise finl inc,0.0065,0.9962
457,vanguard malvern fds etf,vanguard short term inflation protected,0.0007,0.955
458,alibaba group hldg limited sponsored ads,alibaba group hldg adr fsponsored adr 1 adr reps 1 ord,0.0116,0.9944
459,american funds american hi inc tr r3,american high-income trust,0.0148,0.9817
460,first eagle global i,first eagle global fund cl i,0.1474,0.9866
461,van mid cap index adm m4940,vanguard mid cap index,0.0449,0.7573
462,chesapeake energy corp,chesapeake energy corp com,0.1173,0.9964
463,starbucks corp. cmn,starbucks corp washington div: 0.800,0.029,0.9959
464,mc donalds corp div: 3.560,mcdonalds corp,0.0061,0.993
465,american funds europacifc r3,american funds europacific r3,1.0,1.0
466,block h & r inc,block h&r inc,0.0089,0.9682
467,vanguard ftse developed mkts etf,vanguard ftse developed market etf,0.1748,0.9972
468,vang tot bd mkt adm,vang tot bd mk is pl,0.0272,0.1104
469,pimco investment grade corporate bond fund - class a,fidelity conservativ income bond fd cl i,0.0165,0.0004
470,vanguard mid cap index fund - admiral,vanguard mid cap index fd,0.051,0.9526
471,vanguard intrmd-term bond index adm,vanguard inter-term bond index port inv,0.1204,0.0
472,infinera corporation com isin #us1 sedol #b1yb5y4,infinera corp com,0.0477,0.9969
473,vanguard crsp us small cap index,vanguard small cap etf,0.0814,0.9811
474,oneok partners lp lp,oneok partners l p unit ltd partnership,0.0131,0.7033
475,american mutual fund,american fd american mutual fd cl f2,0.0014,0.1454
476,american funds europacific growth-r5,american europacific growth,0.0538,0.9895
477,vang tot bd mkt adm,vanguard ttl bnd mrk indx inst,0.0133,0.0
478,breitburn energy partners lp c,breitburn energy partners lp com,0.1203,0.9543
479,new york community bancorp inc.,new york community,0.0369,0.9993
480,pimco income instl,pimco income administrative,0.0362,0.0022
481,select sector spdr trust technology select index,sector spdr tr shs ben int technology,0.0155,0.9783
482,vanguard ttl bond mkt idx adm,vanguard bond index total mkt investor,0.0084,0.0001
483,tmpl global bond a,templeton global bond fund r,0.0459,0.0034
484,ishares 20+ year treasury bo,ishares 20+ year,0.1172,0.9954
485,vang sm cap idx adm,vnguard index trust small cap idx instl,0.0186,0.0
486,linkedin corp class a,linkedin corp-a,0.0038,0.993
487,primecap odyssey stock,primecap odyssey stock fund,0.1783,0.9883
488,time warner inc,time warner inc com new,0.1881,0.9919
489,vanguard total bond market index-admiral,vanguard total bond market index fund institutional plus,0.197,0.0174
490,marathon pete corporation,loews corporation div: 0.250,0.0079,0.9402
491,ishares core msci emerging etf,harding loevner emerging mkts,0.0054,0.04
492,vanguard short term tax exempt admiral share,vanguard short-term tax-exempt fund investor shares,0.0143,0.037
493,ford motor com,ford mtr co,0.0199,0.997
494,vanguard ftse all world ex us etf,vanguard ftse all-world ex-u,0.0082,0.9987
495,vmware inc cl a com,vmware inc.,0.0042,0.9848
496,royal dutch shell plc spons adr a,royal dutch shell plc sponsored adr repstg a shs,0.297,0.9941
497,spdr nuveen barclays municipal bond etf,spdr nuveen barclays capital m div: 0.556,0.0862,0.9974
498,united parcel service cl b,united parcel service inc cl b,0.4548,0.9989
499,vang smcp gr idx adm,vanguard small cap growth index admiral,0.0005,0.6902
500,novo-nordisk a s adr,novo-nordisk a s adr isin #us6 sedol #2651202,0.0857,0.9968
501,fidelity mass muni income,nuveen equity premium income,0.0239,0.9301
502,ishares russell mid-cap value etf,ishares russell mid cap value etf iv,0.0455,0.9992
503,yamana gold inc cmn,yamana gold inc com,0.0858,0.9858
504,vanguard total bond market idx-adm,vanguard total bond market idx instl pls,0.1055,0.0
505,otter tail corp com,otter tail corporation cmn,0.0524,0.9973
506,sptn intl index ins,sptn intl index adv,0.0491,0.0001
507,cnooc ltd. adr (sponsored),cnooc limited adr fsponsored adr 1 adr rep 100 cl h ord,0.0287,0.9581
508,eaton vance global macro abs ret a,eaton vance global macro abslte rt cl a,0.1541,0.9588
509,dfa u s small cap value cl i,dfa us small cap value prtf instl,0.1256,0.9905
510,sears canada inc (canada),sears cda inc,0.0398,0.9919
511,at&t inc com isin #us00206r1023 sedol #2831811,franklin res inc com isin #us8 sedol #2350684,0.1707,0.0
512,vanguard total international bond index etf,vanguard total international bond et,0.0645,0.9903
513,wisdomtree japan hedged equity -,wisdomtree japan hedged eq,0.0346,0.9912
514,templeton global bond fund advisor class,templeton glbal bond adv,0.0066,0.9961
515,trp health sciences,t. rowe price health sciences fund,0.0093,0.9972
